id,platform,year,keyword,date,title,url,content_path
cnn_2022-01-27_22,cnn,2022,Lunar New Year,2022-01-27,Stay Lucky in the Year of the Tiger - sponsorcontent.cnn.com,https://news.google.com/rss/articles/CBMickFVX3lxTE5Md04ySWNBeFFpemI5RDlRWFZpU3J3YnEyVW9mVFlCYjRCM0pzeXg4U2thcWQtWXVfZE5lc2VUeW1iYnBlQnlUSEpDRTI3cUtaeTlNdUdPYVl2UGJHV0k5NXRXT1djam1KMHRNb2JkbnY5UQ?oc=5,cnn_2022-01-27_22.txt
cnn_2022-01-24_23,cnn,2022,Lunar New Year,2022-01-24,"Lunar New Year is China’s biggest holiday. For the third straight year, many families will be forced to spend it apart - CNN",https://news.google.com/rss/articles/CBMihwFBVV95cUxNOEo5cER4dTNSbWk2NDhtSks0SENZU2dUNGttbk9IRTdhV29zTTl0V3JVM2NmYWFlUTR3LXptMFlqMFhQZ2V1LXdIOW1MbGRUSEt6R185Y0lld0pJczZJb0J2VjNKaWV4eUxCUVdCNTZGeFY5b2pycUJkeEY1dFZfYnBoWFlPRjQ?oc=5,cnn_2022-01-24_23.txt
cnn_2022-02-01_24,cnn,2022,Lunar New Year,2022-02-01,Stunning light display illuminates skies for Lunar New Year - CNN,https://news.google.com/rss/articles/CBMikwFBVV95cUxNNHhnMVZYblN3X1BwYU9NZ25Ka3lnVksxTEFvYnl0NkZKY0RGSTZ5TXRXTGV0UE9KS015WG1qMkxQLTdzdVBqd3VPcDdPNFIwa3VHblZDTnQ0TWhBdTdRa0pROUlOYXNHeW1Kay15SFhwbDdQSXJ4UzhUWXVqTUw0MGhHVE05QVRRdzZLRTcxZUZVeUk?oc=5,cnn_2022-02-01_24.txt
cnn_2022-02-03_25,cnn,2022,Chinese New Year,2022-02-03,Lawmakers want to make Lunar New Year a federal holiday - CNN,https://news.google.com/rss/articles/CBMifkFVX3lxTFBKZnVKZHdlVWhZYnNBQ2V2WC1zNUhGTjBka0MxOGc2NjM0cDg1M3RLcnctS0pqeXFZc2YtVmN1WHh5Zk5saUhYSTZPV2FiMzhPakJjSXlqQlE5Z0hDUmVfQjh5VUVYZk5RcFRtazdyZ2xKSks3dUtZVGhHbENwUQ?oc=5,cnn_2022-02-03_25.txt
cnn_2022-01-18_26,cnn,2022,Chinese New Year,2022-01-18,"For the Year of the Tiger, can luxury fashion change its stripes? - CNN",https://news.google.com/rss/articles/CBMihAFBVV95cUxNT25ibkZCMGRYcW8tSTg3OXVkRE15OWRoZGhoT2gyMkFjQ01GaWlhQ1JPUWh6dlBsNmQzNWN5UkR6WWJraExyQkFqLXg1dFowbjNFa2dVSFBsdUhsYWlIc181djBIZDZDTVliUEFDbGZNeERpbDdIUzh0alNWc0ZTTEgwV2w?oc=5,cnn_2022-01-18_26.txt
cnn_2022-01-27_27,cnn,2022,Chinese New Year,2022-01-27,How the Chinese zodiac was born - sponsorcontent.cnn.com,https://news.google.com/rss/articles/CBMic0FVX3lxTE5XemkxQnRPdlZ2M1hiLVlmRzRia0NkeTVZSGtsY2NWVHcxNXpaTWN2cHpabzk0LUFFeHhKTDZxcDZOOXJ6cGZldW1OcXZjXzQyTHJXSGEtQlpmM284REJkRlI3eGJRZkRnNnhCdjFxRjdUZmc?oc=5,cnn_2022-01-27_27.txt
cnn_2022-02-10_28,cnn,2022,Chinese New Year,2022-02-10,What is turnip cake and why is it a popular Lunar New Year dish? - CNN,https://news.google.com/rss/articles/CBMijAFBVV95cUxNWlNZX1IzS2FnTHhRYXZBUXh5Zkg2SHhWcXFOVTRmZ0E3MkFiTGp0S3NQRG9kdXgyOFRjNkZSdHBCNVpZOXNkX0FjUEZfQzFoQ2gyWEI5RmFSUVI4aXRCcTRlMTVraEIxSGdjNDVYdUQ5VEFVbHFMVEVwT0Fna3Y4VkVqS1JEbk1zb0p5Qg?oc=5,cnn_2022-02-10_28.txt
cnn_2022-02-01_29,cnn,2022,Chinese New Year,2022-02-01,Photos: Lunar New Year 2022 - CNN,https://news.google.com/rss/articles/CBMie0FVX3lxTFBubEFHc04xWjVmM3Q3XzlTbEFXS0p2Nlp1ektMakEzc0FRbU5vRlFsVnJ4bUl6RzhzQUxzQnFxQS1LUUNUS1IzMG04V1doSjBkei1UVEJWTFJoeklGeVlGemQ3VllFcHZaMXhwZ21wam9yTmxsbjkzVUZPWQ?oc=5,cnn_2022-02-01_29.txt
cnn_2022-02-02_30,cnn,2022,Chinese New Year,2022-02-02,China’s biggest Lunar New Year release is another Korean War propaganda movie - CNN,https://news.google.com/rss/articles/CBMijAFBVV95cUxOcXRpa3ZydXRPcmE2SmEwSVAyN2xtUDdtTEVjZzlOSXBSRVo4akxjdWxlOHBIM05OMW9UdV9ocGVCckNMNjVNdzIzYmJNaFdSX2tENTdZYzBOTWplMUllcUZSRWlVMDhyaC1ua2gta21qZU9MLTlieEtkdmJZa0ZuQ25NUWFiczZrMGFCYQ?oc=5,cnn_2022-02-02_30.txt
cnn_2022-01-27_31,cnn,2022,Chinese New Year,2022-01-27,Stay Lucky in the Year of the Tiger - sponsorcontent.cnn.com,https://news.google.com/rss/articles/CBMickFVX3lxTE5Md04ySWNBeFFpemI5RDlRWFZpU3J3YnEyVW9mVFlCYjRCM0pzeXg4U2thcWQtWXVfZE5lc2VUeW1iYnBlQnlUSEpDRTI3cUtaeTlNdUdPYVl2UGJHV0k5NXRXT1djam1KMHRNb2JkbnY5UQ?oc=5,cnn_2022-01-27_31.txt
cnn_2022-01-24_32,cnn,2022,Chinese New Year,2022-01-24,"Lunar New Year is China’s biggest holiday. For the third straight year, many families will be forced to spend it apart - CNN",https://news.google.com/rss/articles/CBMihwFBVV95cUxNOEo5cER4dTNSbWk2NDhtSks0SENZU2dUNGttbk9IRTdhV29zTTl0V3JVM2NmYWFlUTR3LXptMFlqMFhQZ2V1LXdIOW1MbGRUSEt6R185Y0lld0pJczZJb0J2VjNKaWV4eUxCUVdCNTZGeFY5b2pycUJkeEY1dFZfYnBoWFlPRjQ?oc=5,cnn_2022-01-24_32.txt
cnn_2023-01-23_33,cnn,2023,Lunar New Year,2023-01-23,"CNN 10: The big stories of the day, explained in 10 minutes - CNN",https://news.google.com/rss/articles/CBMiZ0FVX3lxTFB5RzRRU0FmZnFRS3gyQTMxLS1ONm5JNXpOa29way00RndYYWdJX3VFYzJsTGU1RExQVjBVQ0Y0SlA2eVVVNHg4dmU1dFAxTExXNV9SbTloNlllOEYxMGsya0otNDN1Szg?oc=5,cnn_2023-01-23_33.txt
cnn_2023-01-19_34,cnn,2023,Lunar New Year,2023-01-19,Opinion: Why I’m embracing a daily pair of red underwear this year - CNN,https://news.google.com/rss/articles/CBMikgFBVV95cUxPVE50MmhIMTdZUVFqMWgtRnI4ckhWMFZEaFlfQzdwelR5ZmRWalJyNEtMdlBpM0VYS2VkZFRNYWVvUXg0Mkh1eUsyb294eklaT3lzZ2c0MGtOQy1NNEFtLTJJb05FZnk0a0dNay1CdkpXR1JFeG1qTVpfSDlOTGxOYnh0b1pJeDBlRjd2X3BYV3Y5QQ?oc=5,cnn_2023-01-19_34.txt
cnn_2023-01-28_35,cnn,2023,Lunar New Year,2023-01-28,Is it Chinese New Year or Lunar New Year? Depends who you ask - CNN,https://news.google.com/rss/articles/CBMihgFBVV95cUxQVUI0RlVkTHZyNHlMWnRvNjA1VTd6UFAwZzV4WjZYcllpVXVJNUtCWGFWMk9FdHdlWkNidDNtdUZIZl9wdE1DYzVDbk5tX3pnM1NrN0dDbnVlemhCUDlVVDYwNkFDT21pZGo4MWVKTUFVMC1jbWJha1J5b3BUUHg1X1NoZUNlUQ?oc=5,cnn_2023-01-28_35.txt
cnn_2023-01-18_36,cnn,2023,Lunar New Year,2023-01-18,Longevity noodles: the lucky Lunar New Year dish - CNN,https://news.google.com/rss/articles/CBMijwFBVV95cUxOV2RPYUFyRWp1TzVucmtVeDZZeVpiWWdZQktXcVluMkdVb3ZDVFgxV19TenV4RUJRLXpxRWdNY3F3YWJCcTVHNVRrNi1XS0NJbmdoMDZycDd1eHFFZlF5ZnhHSUlEUW5MSTBKWHJwaG5jX3JrMUFKWHFaQ25lTl9Wb0EyYzZTZ2lmU240eW1GQQ?oc=5,cnn_2023-01-18_36.txt
cnn_2023-01-27_37,cnn,2023,Lunar New Year,2023-01-27,CNN went to rural China after zero-Covid. Here’s what we found - CNN,https://news.google.com/rss/articles/CBMiigFBVV95cUxNRC0tZUNHYkpFNkNxSzBCOU8xRWJ3RjZTVlRwU1YwRGxkeGFWS3pFS1VmM0ltVzRiWXRsbGlncE5PZzk2bU9TbnNDaTZDQUhORjY3MmdjeTJFOEZRVVlVU1daX0pZV29rN2ludHBWOVpVVWw3anViUFVYY2lqWUpaaE9yeEVSbW5hdlE?oc=5,cnn_2023-01-27_37.txt
cnn_2023-01-18_38,cnn,2023,Lunar New Year,2023-01-18,Photos: Lunar New Year celebrations - CNN,https://news.google.com/rss/articles/CBMickFVX3lxTE9IaHhIOFJ1X2p2emJ0Wnl4amNGUDd4OUhSeGtoYWFDTFZmMmJ0ZmNlVlZKUVVVYnhTSWp4SmpkbWZNd3FRV0Q5SU5ORlFxMUE3clRUeWM5bkVxRDhOZDZ6OWkzR2pHdklVVjNuNWdva1JDQQ?oc=5,cnn_2023-01-18_38.txt
cnn_2023-01-13_39,cnn,2023,Lunar New Year,2023-01-13,Tickets selling fast as Hong Kong-China high-speed rail link reopens ahead of Lunar New Year travel rush - CNN,https://news.google.com/rss/articles/CBMimgFBVV95cUxNcXgzUjcyOEprU1JRN0cxd05rSDVnMlpXNEhBckhFSU1GdkptQmpqN3BzYzZvUEJCTFRFMm51WUwwTjRWdm0xU0tMYlp4bldtb2FOZlg1bXdjX1oySk4tMXhUODh4TkRiQ1dvT1A3X3A5VlF1Yk10a3hCOXl5TlFiSS1xb0k0UVBKUWFEZWhsNEhURmFhUzJ4Q1JR?oc=5,cnn_2023-01-13_39.txt
cnn_2023-01-22_40,cnn,2023,Lunar New Year,2023-01-22,"China says 80% of population have had Covid-19, as millions travel for Lunar New Year - CNN",https://news.google.com/rss/articles/CBMigAFBVV95cUxPbERCbEpDTHRLMUVycDlmdnkzczBMZ3g0dmVDaEZ5YjhVY1VRQnFScTZ4c2d6N3BxUnpoVmlzTThianJqbjZQc1ZNSGdhUVphU2tfLXQ0RGxXQW5UdlJab1g2VXFaNlBUNzFfaDhTTWR6cklfY3ZERVFDRzJvc0QxYdIBhgFBVV95cUxQWDloOW0yYXFrRmZhVWs1eS1HWWJwblVRRmNjU1hkczhGb0VIdk0wQVZiLWhPM0tlT19nUk11ZmROdTlwb2gwanF0R3cwR0pkb0FfU25aY2RUWkRIdzVQZVNXeDNHNDRMRWtNaVBQc3VJaERwQWpIN1RmVURHM3hrS0k0ZHBWUQ?oc=5,cnn_2023-01-22_40.txt
cnn_2023-01-19_41,cnn,2023,Lunar New Year,2023-01-19,Asian Americans are putting their own spin on Lunar New Year traditions - CNN,https://news.google.com/rss/articles/CBMihgFBVV95cUxNbUEyV09PVDg1RHBwMGtLQ0FLTkRfQjFqejVtbjVpcXB4V3FCbndvaW40bXdyZjlFQzRHaEpRbUFJWGJRcjNzM0ZScGs1Y0ZLZlpvdk1NS0FyV3FST0ppRHpDU2MwQ3BGQ01PWjlfVFAtTFpxTHk2QnFmcWlReW9aaG9sLS1EQQ?oc=5,cnn_2023-01-19_41.txt
