title,link,pub_date,content
China confirms new coronavirus can spread between humans - CNN,https://news.google.com/rss/articles/CBMid0FVX3lxTE1ycXkwNW1HYVBPZmdsOHF1NTlTVEc4WWZTeHB0bWhBdy1pQkE5YnpVdnA1S2pBY0o2ay1nVVJRUXRnSjF6Vk9ZZVdGRjJjaWhKOWh5dHdVYTFTal96RTVrbTBOZ3RxbksyMnMzb3JJUWtQU3VtTHhB?oc=5,"Sun, 19 Jan 2020 08:00:00 GMT",[No article text found]
In photos: Virus outbreak locks down Chinese cities - CNN,https://news.google.com/rss/articles/CBMikgFBVV95cUxQbTlLMGlRN3g0RmZWZlpqa05LU09KWFp0bUxIbTk2bjc0UmlrNTF1aF9FUkJKZnNKMTV4X1NJT2lhalFCbFZqajRwZ0VQLXdYTkdnN19FTS1BT0NYcEFzYzNpbnNIRzNGOWV0MzBNUVhUQUJMSHRWSFVlNjg0Y3Q0NmhNbk1xWWtiak1Ea1kxTjA2UQ?oc=5,"Thu, 30 Jan 2020 08:00:00 GMT",[No article text found]
A visual guide to the Wuhan coronavirus - CNN,https://news.google.com/rss/articles/CBMifEFVX3lxTE5OcmVHWmZIMGlzdHVSVVgzQnRleTBUc3pFRkF5VFZpUzc1cHBNcFQ5c3R5TXFyLXpGRmVVdTNYWW5rbVA3VVRwVHVRRnVDZGlpdEZmdHpmSXdBamt5TWx5TE5rRXBSdXVkWGdtaXZpQWtrOE5CS2ZGR3JDQno?oc=5,"Wed, 22 Jan 2020 08:00:00 GMT",[No article text found]
Destinations empty as Chinese tourists vanish - CNN,https://news.google.com/rss/articles/CBMidkFVX3lxTE1rX01GZ3RXcVJYUHJYSlRYUXM4NjM3OEo5dHo1RThUeXlKUTM2NXlCRnllUTdWc0RZTF9JT0wxbzZVOTY2eU5zNURmblBweFdZNDhRN0NkUTZFUmU0azhxQkQ0ZTZpOENXdF9VYmp6ai1fVTBuaWc?oc=5,"Mon, 03 Feb 2020 08:00:00 GMT",[No article text found]
"China’s new SARS-like virus has spread to Japan, but we still know very little about it - CNN",https://news.google.com/rss/articles/CBMidEFVX3lxTE1oeFZkU3g1RUp5T1NyODIwMkVoMlRVbXhhdDVKNmNyelJfYlpuS054dDBqMzFkZlFFWFVhZDFwR1d1c29jcENkYnYwbUEta19yQUdaQThOQnBwYjRyNFRUQWozR2E0ZTFmOXUtRHVlM29VTDRP?oc=5,"Thu, 16 Jan 2020 08:00:00 GMT",[No article text found]
US citizen trapped at the epicenter of the coronavirus outbreak says she’s angry and scared - CNN,https://news.google.com/rss/articles/CBMib0FVX3lxTFBZTmNyT21zRGZvWFBvVnF6dzFMd2Y5NnNIRG1YQlNJcWVDWFZIQ09ZVndqczh2YmVmZm9QSERVT3l6eTFQX0E4TjBOS1dvRGFEWWwyR2lMWTZ5ajAtSWNpYnROZ1E1M1MxQjNIZkVHWQ?oc=5,"Sun, 26 Jan 2020 08:00:00 GMT",[No article text found]
A second person has died from a new SARS-like virus in China - CNN,https://news.google.com/rss/articles/CBMigwFBVV95cUxQX0d1c1lNWnpRNi1Ha3Z1NUxVNjREbGc3RG5ubWhkV3FidlVBSGNVUHV0TnE2cnRyM1M0N0dkMTVENHlwd0dNZGJTOURKUWNjU0hIeUF6S2NwZWtkSXpNM2tlUGxQaFF4VUI4TjhFSzlPdzJtdUZXbjV1bGN1eXlBRHNqQQ?oc=5,"Fri, 17 Jan 2020 08:00:00 GMT",[No article text found]
Cases of Wuhan coronavirus continue to rise rapidly as US bans travel from China - CNN,https://news.google.com/rss/articles/CBMieEFVX3lxTE9jVTZGYXdENmEtQmNHWW1QZnVuSTB3LTNMZGdmLUw3NFpFZlVTT3dNdEprNmU0MFNsNkZMZDZyQXFGeFBkbmRxWVF3Q2Y3Rm1vNWI0VkF0ZWlIMnZoTFpzcklzV19XM0w4TXlSR2xIM3pIRG9ySDdERA?oc=5,"Sat, 01 Feb 2020 08:00:00 GMT",[No article text found]
McDonald’s closes restaurants in five Chinese cities because of the coronavirus - CNN,https://news.google.com/rss/articles/CBMiekFVX3lxTE5ZQ2p2d05MNkhLWmJZS3ZzLWcxTUlKRktrUzc0cHNGbGVpaGxOQTRiQUxzQ2lwbUFxUEYyeHJjWHNwSnA3TzRIbEhVRHVqQWFFN1lBdkhCZ3hSRE9oYmxFMXU0b0R0U1ZCRTVfRmtfa0RnN0pLemk2eldR?oc=5,"Fri, 24 Jan 2020 08:00:00 GMT",[No article text found]
These Wuhan drivers are risking their lives to get medics to coronavirus patients - CNN,https://news.google.com/rss/articles/CBMifkFVX3lxTE5IcjlUSTY5SWNQU0lOWjJBVXdqSGJPVEU1REpaZkU1VXc1cGl2cGk0UFRKWTVPUXVEaTI3d01qbkZ5Rk5TckdrTHV2Vi1WWmdJVXVXTGlGR0pVMFhKaktSSG81aV9jSWo4ZW1YOF9yYk9JYWtWM1dPcW9CN29qZw?oc=5,"Fri, 07 Feb 2020 08:00:00 GMT",[No article text found]
"This Chinese doctor tried to save lives, but was silenced. Now he has coronavirus - CNN",https://news.google.com/rss/articles/CBMiigFBVV95cUxPZTE4eVVwb3ZQcFpsVXpsS3YzQWtoT3BDY01aZFcwTUhRblJGUlZMNVpnbmM0OFUyNGZzTURkaUF3UGR1UW5WRjgtRk9Bak8zQmd3RWh1Nkd2eDlCdW1YLTg1OUhMZXdXbTBrR3dmeC1Pb0RvVTlpenZCNTFKeVJDS0V0YjhsZzg2M3c?oc=5,"Tue, 04 Feb 2020 08:00:00 GMT",[No article text found]
Wuhan: Inside the Chinese city at the center of the coronavirus outbreak - CNN,https://news.google.com/rss/articles/CBMiYkFVX3lxTE5LREdxN0MwSzM5SUFTbWNwTkxxZ0xmUDMwWnBvWFFYUmwyOWcwd0o2VjFvdG9TZXNIV3U3MUp6M2thQUJ5OXdldTNIT0RmMzNqaTlwcl9RN1BFejh5a0I2b1B3?oc=5,"Thu, 23 Jan 2020 08:00:00 GMT",[No article text found]
Wuhan coronavirus: Thousands of cases confirmed as China goes into emergency mode - CNN,https://news.google.com/rss/articles/CBMieEFVX3lxTFA0RUd2S0phRFgxRFk4TjZ0UVlyOE04UDE0ZEt1TVhWV2JiSnpPc29CRlJDaE9wTWxfSWh3eTZqbFh5U1psVXFUanJ1d01mamI4VnhJcXgzU0VobFpOaUgxdE9hUFI1bDhWU2lrR3hodHhtNlZ0OVNBUw?oc=5,"Mon, 27 Jan 2020 08:00:00 GMT",[No article text found]
Lessons from China’s deadly SARS outbreak - CNN,https://news.google.com/rss/articles/CBMidkFVX3lxTFBLUl9EaW1fOWJiYmFMMC1xamlDMnJRWGd1MVBvX0Itekc1VEVNempVMkhlTXgxMDdIZGtrSkE2c3dPbjRrUk8xNF9leXY1TGhQUVN4cVZ6NXdPbHh1a0NITGxJcmR6dk9LXzBHYnI4Zi1KOVVPbFE?oc=5,"Fri, 24 Jan 2020 08:00:00 GMT",[No article text found]
